date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
20180728,North-Kivu,Kalunguta,,,,,,,,
20180729,North-Kivu,Kalunguta,,,,,,,,
20180730,North-Kivu,Kalunguta,,,,,,,,
20180731,North-Kivu,Kalunguta,,,,,,,,
20180801,North-Kivu,Kalunguta,,,,,,,,
20180802,North-Kivu,Kalunguta,,,,,,,,
20180803,North-Kivu,Kalunguta,,,,,,,,
20180804,North-Kivu,Kalunguta,,,,,,,,
20180805,North-Kivu,Kalunguta,,,,,,,,
20180806,North-Kivu,Kalunguta,,,,,,,,
20180807,North-Kivu,Kalunguta,,,,,,,,
20180808,North-Kivu,Kalunguta,,,,,,,,
20180809,North-Kivu,Kalunguta,,,,,,,,
20180810,North-Kivu,Kalunguta,,,,,,,,
20180811,North-Kivu,Kalunguta,,,,,,,,
20180812,North-Kivu,Kalunguta,,,,,,,,
20180813,North-Kivu,Kalunguta,,,,,,,,
20180814,North-Kivu,Kalunguta,,,,,,,,
20180815,North-Kivu,Kalunguta,,,,,,,,
20180816,North-Kivu,Kalunguta,,,,,,,,
20180817,North-Kivu,Kalunguta,,,,,,,,
20180818,North-Kivu,Kalunguta,,,,,,,,
20180819,North-Kivu,Kalunguta,,,,,,,,
20180820,North-Kivu,Kalunguta,,,,,,,,
20180821,North-Kivu,Kalunguta,,,,,,,,
20180822,North-Kivu,Kalunguta,,,,,,,,
20180823,North-Kivu,Kalunguta,,,,,,,,
20180824,North-Kivu,Kalunguta,,,,,,,,
20180825,North-Kivu,Kalunguta,,,,,,,,
20180826,North-Kivu,Kalunguta,,,,,,,,
20180827,North-Kivu,Kalunguta,,,,,,,,
20180828,North-Kivu,Kalunguta,,,,,,,,
20180829,North-Kivu,Kalunguta,,,,,,,,
20180830,North-Kivu,Kalunguta,,,,,,,,
20180831,North-Kivu,Kalunguta,,,,,,,,
20180901,North-Kivu,Kalunguta,,,,,,,,
20180902,North-Kivu,Kalunguta,,,,,,,,
20180903,North-Kivu,Kalunguta,,,,,,,,
20180904,North-Kivu,Kalunguta,0,1,0,0,0,0,,
20180905,North-Kivu,Kalunguta,0,1,0,0,0,0,,
20180906,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180907,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180908,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180909,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180910,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180911,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180912,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180913,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180914,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180915,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180916,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180917,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180918,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180919,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180920,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180921,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180922,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180923,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180924,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180925,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180926,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180927,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180928,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180929,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20180930,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181001,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181002,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181003,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181004,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181005,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181006,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181007,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181008,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181009,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181010,North-Kivu,Kalunguta,0,1,0,0,0,0,1,
20181011,North-Kivu,Kalunguta,0,2,1,1,1,1,1,
20181012,North-Kivu,Kalunguta,0,2,,,1,1,1,
20181013,North-Kivu,Kalunguta,0,2,0,0,1,1,1,
20181014,North-Kivu,Kalunguta,0,2,1,1,1,1,1,45
20181015,North-Kivu,Kalunguta,0,2,0,0,1,1,1,105
20181016,North-Kivu,Kalunguta,0,2,0,0,1,1,1,105
20181017,North-Kivu,Kalunguta,0,2,0,0,1,1,1,105
20181018,North-Kivu,Kalunguta,0,2,0,0,1,1,1,105
20181019,North-Kivu,Kalunguta,0,2,2,2,1,1,1,105
20181020,North-Kivu,Kalunguta,0,2,0,0,1,1,1,105
20181021,North-Kivu,Kalunguta,0,2,0,0,1,1,1,105
20181022,North-Kivu,Kalunguta,0,2,0,0,1,1,1,105
20181023,North-Kivu,Kalunguta,0,2,0,0,1,1,1,185
20181024,North-Kivu,Kalunguta,0,2,1,1,1,1,1,185
20181025,North-Kivu,Kalunguta,0,2,0,0,1,1,1,227
20181026,North-Kivu,Kalunguta,0,2,0,0,1,1,1,227
20181027,North-Kivu,Kalunguta,0,2,1,1,1,1,1,227
20181028,North-Kivu,Kalunguta,0,2,1,1,1,1,1,227
20181029,North-Kivu,Kalunguta,0,2,3,3,1,1,1,227
20181030,North-Kivu,Kalunguta,0,2,3,3,1,1,1,227
20181031,North-Kivu,Kalunguta,0,2,1,1,1,1,1,307
20181101,North-Kivu,Kalunguta,0,2,0,0,1,1,1,387
20181102,North-Kivu,Kalunguta,0,2,7,7,1,1,1,387
20181103,North-Kivu,Kalunguta,0,2,2,2,1,1,1,457
20181104,North-Kivu,Kalunguta,0,3,1,1,1,1,1,407
20181105,North-Kivu,Kalunguta,0,6,2,2,1,1,1,507
20181106,North-Kivu,Kalunguta,0,6,1,1,1,1,1,
20181107,North-Kivu,Kalunguta,0,7,6,6,1,1,1,807
20181108,North-Kivu,Kalunguta,0,7,2,2,1,1,1,947
20181109,North-Kivu,Kalunguta,0,9,2,2,1,1,1,1117
20181110,North-Kivu,Kalunguta,0,9,2,2,1,1,,1237
20181111,North-Kivu,Kalunguta,5,19,4,4,6,1,,1337
20181112,North-Kivu,Kalunguta,5,23,0,0,,,,1337
20181113,North-Kivu,Kalunguta,5,23,1,1,,,,1507
20181114,North-Kivu,Kalunguta,5,24,1,1,,,,1547
20181115,North-Kivu,Kalunguta,12,24,4,4,22,10,,1602
20181116,North-Kivu,Kalunguta,12,24,1,1,22,10,,1602
20181117,North-Kivu,Kalunguta,12,24,1,1,22,10,,1672
20181118,North-Kivu,Kalunguta,12,24,1,1,22,10,,1672
20181119,North-Kivu,Kalunguta,12,25,5,5,22,10,,1712
20181120,North-Kivu,Kalunguta,12,27,0,0,22,10,,1722
20181121,North-Kivu,Kalunguta,12,28,1,1,22,10,,1751
20181122,North-Kivu,Kalunguta,12,28,3,3,22,10,,1751
20181123,North-Kivu,Kalunguta,12,29,4,4,22,10,,1751
20181124,North-Kivu,Kalunguta,12,31,1,1,22,10,,1788
20181125,North-Kivu,Kalunguta,12,32,0,0,23,11,,1788
20181126,North-Kivu,Kalunguta,12,33,0,0,23,11,,1788
20181127,North-Kivu,Kalunguta,12,33,0,0,23,11,,1788
20181128,North-Kivu,Kalunguta,12,33,0,0,23,11,,1788
20181129,North-Kivu,Kalunguta,12,33,2,2,23,11,,1828
20181130,North-Kivu,Kalunguta,12,34,1,1,23,11,,1853
20181201,North-Kivu,Kalunguta,12,34,4,4,23,11,,1930
20181202,North-Kivu,Kalunguta,12,35,0,0,24,12,,1997
20181203,North-Kivu,Kalunguta,12,35,0,0,24,12,,1997
20181204,North-Kivu,Kalunguta,12,35,0,0,24,12,,2037
20181205,North-Kivu,Kalunguta,12,35,1,1,24,12,,2092
20181206,North-Kivu,Kalunguta,12,35,0,0,24,12,,2092
20181207,North-Kivu,Kalunguta,12,31,1,1,28,16,,2092
20181208,North-Kivu,Kalunguta,12,31,0,0,28,16,,2092
20181209,North-Kivu,Kalunguta,12,31,0,0,28,16,,2108
20181210,North-Kivu,Kalunguta,12,31,0,0,28,16,,2108
20181211,North-Kivu,Kalunguta,12,31,2,2,28,16,,2108
20181212,North-Kivu,Kalunguta,12,32,0,0,28,16,,2108
20181213,North-Kivu,Kalunguta,12,33,0,0,29,17,,2138
20181214,North-Kivu,Kalunguta,12,34,2,2,29,17,,2178
20181215,North-Kivu,Kalunguta,12,34,1,1,29,17,,2178
20181216,North-Kivu,Kalunguta,12,34,3,3,29,17,,2208
20181217,North-Kivu,Kalunguta,12,34,1,1,29,17,,2208
20181218,North-Kivu,Kalunguta,12,34,3,3,29,17,,2221
20181219,North-Kivu,Kalunguta,12,35,0,0,29,17,,2221
20181220,North-Kivu,Kalunguta,12,35,0,0,29,17,,2221
20181221,North-Kivu,Kalunguta,12,35,2,2,29,17,,2258
20181222,North-Kivu,Kalunguta,12,37,1,1,29,17,,2258
20181223,North-Kivu,Kalunguta,12,37,0,0,29,17,,2258
20181224,North-Kivu,Kalunguta,12,37,0,0,29,17,,2258
20181225,North-Kivu,Kalunguta,12,37,5,5,29,17,,2258
20181226,North-Kivu,Kalunguta,12,39,0,0,29,17,,2258
20181227,North-Kivu,Kalunguta,12,39,0,0,29,17,,2258
20181228,North-Kivu,Kalunguta,12,39,0,0,29,17,,2258
20181229,North-Kivu,Kalunguta,12,39,0,0,29,17,,2258
20181230,North-Kivu,Kalunguta,12,39,0,0,29,17,,
20181231,North-Kivu,Kalunguta,12,39,0,0,29,17,,
20190101,North-Kivu,Kalunguta,12,39,3,3,29,17,,
20190102,North-Kivu,Kalunguta,12,39,1,1,29,17,,
20190103,North-Kivu,Kalunguta,12,39,1,1,29,17,,
20190104,North-Kivu,Kalunguta,12,39,1,1,29,17,,
20190105,North-Kivu,Kalunguta,12,40,3,3,29,17,,
20190106,North-Kivu,Kalunguta,12,40,3,3,29,17,,
20190107,North-Kivu,Kalunguta,12,40,2,2,29,17,,
20190108,North-Kivu,Kalunguta,12,40,,,29,17,,
20190109,North-Kivu,Kalunguta,12,40,0,0,29,17,,
20190110,North-Kivu,Kalunguta,12,40,6,6,29,17,,
20190111,North-Kivu,Kalunguta,12,40,0,0,30,18,,
20190112,North-Kivu,Kalunguta,12,40,5,5,33,21,,
20190113,North-Kivu,Kalunguta,12,40,2,2,33,21,,
20190114,North-Kivu,Kalunguta,12,40,5,5,33,21,,
20190115,North-Kivu,Kalunguta,12,40,2,2,33,21,,
20190116,North-Kivu,Kalunguta,12,40,5,5,33,21,,
20190117,North-Kivu,Kalunguta,12,40,6,6,33,21,,
20190118,North-Kivu,Kalunguta,12,40,11,11,33,21,,
20190119,North-Kivu,Kalunguta,12,40,7,7,33,21,,
20190120,North-Kivu,Kalunguta,12,40,7,7,33,21,,
20190121,North-Kivu,Kalunguta,13,40,19,19,34,21,,
20190122,North-Kivu,Kalunguta,13,40,10,10,34,21,,
20190123,North-Kivu,Kalunguta,13,40,8,8,34,21,,
20190124,North-Kivu,Kalunguta,13,40,5,5,34,21,,
20190125,North-Kivu,Kalunguta,13,40,3,3,34,21,,
20190126,North-Kivu,Kalunguta,13,40,8,8,34,21,,
20190127,North-Kivu,Kalunguta,13,40,3,3,34,21,,
20190128,North-Kivu,Kalunguta,13,40,1,1,34,21,,
20190129,North-Kivu,Kalunguta,13,40,5,5,34,21,,
20190130,North-Kivu,Kalunguta,13,40,2,2,34,21,,
20190131,North-Kivu,Kalunguta,13,40,1,1,34,21,,
20190201,North-Kivu,Kalunguta,13,40,9,9,34,21,,
20190202,North-Kivu,Kalunguta,13,41,6,6,34,21,,
20190203,North-Kivu,Kalunguta,13,42,5,5,34,21,,
20190204,North-Kivu,Kalunguta,13,42,4,4,34,21,,
20190205,North-Kivu,Kalunguta,13,42,8,8,34,21,,
20190206,North-Kivu,Kalunguta,13,42,7,7,34,21,,
20190207,North-Kivu,Kalunguta,13,42,3,3,34,21,,
20190208,North-Kivu,Kalunguta,13,42,16,16,34,21,,
20190209,North-Kivu,Kalunguta,13,42,6,6,34,21,,
20190210,North-Kivu,Kalunguta,13,42,5,5,34,21,,
20190211,North-Kivu,Kalunguta,13,42,6,6,34,21,,
20190212,North-Kivu,Kalunguta,13,42,4,4,34,21,,
20190213,North-Kivu,Kalunguta,13,42,5,5,34,21,,
20190214,North-Kivu,Kalunguta,13,42,8,8,34,21,,
20190215,North-Kivu,Kalunguta,13,42,7,7,34,21,,
20190216,North-Kivu,Kalunguta,13,42,9,9,34,21,,
20190217,North-Kivu,Kalunguta,13,42,6,6,34,21,,
20190218,North-Kivu,Kalunguta,13,42,4,4,31,18,,
20190219,North-Kivu,Kalunguta,13,42,8,8,31,18,,
20190220,North-Kivu,Kalunguta,13,43,9,9,31,18,,
20190221,North-Kivu,Kalunguta,13,44,2,2,31,18,,
20190222,North-Kivu,Kalunguta,13,44,0,0,31,18,,
20190223,North-Kivu,Kalunguta,13,44,0,0,31,18,,
20190224,North-Kivu,Kalunguta,13,44,4,4,31,18,,
20190225,North-Kivu,Kalunguta,13,44,5,5,31,18,,
20190226,North-Kivu,Kalunguta,13,44,7,7,31,18,,
20190227,North-Kivu,Kalunguta,13,45,8,8,32,19,,
20190228,North-Kivu,Kalunguta,13,45,1,1,32,19,,
20190301,North-Kivu,Kalunguta,13,45,3,3,32,19,,
20190302,North-Kivu,Kalunguta,13,45,9,9,32,19,,
20190303,North-Kivu,Kalunguta,13,44,3,3,32,19,,
20190304,North-Kivu,Kalunguta,13,44,6,6,32,19,,
20190305,North-Kivu,Kalunguta,13,44,9,9,32,19,,
