date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
20180728,North-Kivu,Katwa,,,,,,,,
20180729,North-Kivu,Katwa,,,,,,,,
20180730,North-Kivu,Katwa,,,,,,,,
20180731,North-Kivu,Katwa,,,,,,,,
20180801,North-Kivu,Katwa,,,,,,,,
20180802,North-Kivu,Katwa,,,,,,,,
20180803,North-Kivu,Katwa,,,,,,,,
20180804,North-Kivu,Katwa,,,,,,,,
20180805,North-Kivu,Katwa,,,,,,,,
20180806,North-Kivu,Katwa,,,,,,,,
20180807,North-Kivu,Katwa,,,,,,,,
20180808,North-Kivu,Katwa,,,,,,,,
20180809,North-Kivu,Katwa,,,,,,,,
20180810,North-Kivu,Katwa,,,,,,,,
20180811,North-Kivu,Katwa,,,,,,,,
20180812,North-Kivu,Katwa,,,,,,,,
20180813,North-Kivu,Katwa,,,,,,,,
20180814,North-Kivu,Katwa,,,,,,,,
20180815,North-Kivu,Katwa,,,,,,,,
20180816,North-Kivu,Katwa,,,,,,,,
20180817,North-Kivu,Katwa,,,,,,,,
20180818,North-Kivu,Katwa,,,,,,,,
20180819,North-Kivu,Katwa,,,,,,,,
20180820,North-Kivu,Katwa,,,,,,,,
20180821,North-Kivu,Katwa,,,,,,,,
20180822,North-Kivu,Katwa,,,,,,,,
20180823,North-Kivu,Katwa,,,,,,,,
20180824,North-Kivu,Katwa,,,,,,,,
20180825,North-Kivu,Katwa,,,,,,,,
20180826,North-Kivu,Katwa,,,,,,,,
20180827,North-Kivu,Katwa,,,,,,,,
20180828,North-Kivu,Katwa,,,,,,,,
20180829,North-Kivu,Katwa,,,,,,,,
20180830,North-Kivu,Katwa,,,,,,,,
20180831,North-Kivu,Katwa,,,,,,,,
20180901,North-Kivu,Katwa,,,,,,,,
20180902,North-Kivu,Katwa,,,,,,,,
20180903,North-Kivu,Katwa,,,,,,,,
20180904,North-Kivu,Katwa,,,,,,,,
20180905,North-Kivu,Katwa,,,,,,,,
20180906,North-Kivu,Katwa,,,,,,,,70
20180907,North-Kivu,Katwa,,,,,,,,70
20180908,North-Kivu,Katwa,,,,,,,,70
20180909,North-Kivu,Katwa,,,,,,,,70
20180910,North-Kivu,Katwa,,,,,,,,150
20180911,North-Kivu,Katwa,,,,,,,,150
20180912,North-Kivu,Katwa,,,,,,,,150
20180913,North-Kivu,Katwa,,,,,,,,150
20180914,North-Kivu,Katwa,,,,,,,,
20180915,North-Kivu,Katwa,,,,,,,,
20180916,North-Kivu,Katwa,,,,,,,,300
20180917,North-Kivu,Katwa,,,,,,,,
20180918,North-Kivu,Katwa,,,,,,,,314
20180919,North-Kivu,Katwa,,,,,,,,373
20180920,North-Kivu,Katwa,,,,,,,,413
20180921,North-Kivu,Katwa,,,,,,,,573
20180922,North-Kivu,Katwa,,,,,,,,613
20180923,North-Kivu,Katwa,,,,,,,,683
20180924,North-Kivu,Katwa,,,,,,,,803
20180925,North-Kivu,Katwa,,,,,,,,903
