date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
20180728,North-Kivu,Kayina,,,,,,,,
20180729,North-Kivu,Kayina,,,,,,,,
20180730,North-Kivu,Kayina,,,,,,,,
20180731,North-Kivu,Kayina,,,,,,,,
20180801,North-Kivu,Kayina,,,,,,,,
20180802,North-Kivu,Kayina,,,,,,,,
20180803,North-Kivu,Kayina,,,,,,,,
20180804,North-Kivu,Kayina,,,,,,,,
20180805,North-Kivu,Kayina,,,,,,,,
20180806,North-Kivu,Kayina,,,,,,,,
20180807,North-Kivu,Kayina,,,,,,,,
20180808,North-Kivu,Kayina,,,,,,,,
20180809,North-Kivu,Kayina,,,,,,,,
20180810,North-Kivu,Kayina,,,,,,,,
20180811,North-Kivu,Kayina,,,,,,,,
20180812,North-Kivu,Kayina,,,,,,,,
20180813,North-Kivu,Kayina,,,,,,,,
20180814,North-Kivu,Kayina,,,,,,,,
20180815,North-Kivu,Kayina,,,,,,,,
20180816,North-Kivu,Kayina,,,,,,,,
20180817,North-Kivu,Kayina,,,,,,,,
20180818,North-Kivu,Kayina,,,,,,,,
20180819,North-Kivu,Kayina,,,,,,,,
20180820,North-Kivu,Kayina,,,,,,,,
20180821,North-Kivu,Kayina,,,,,,,,
20180822,North-Kivu,Kayina,,,,,,,,
20180823,North-Kivu,Kayina,,,,,,,,
20180824,North-Kivu,Kayina,,,,,,,,
20180825,North-Kivu,Kayina,,,,,,,,
20180826,North-Kivu,Kayina,,,,,,,,
20180827,North-Kivu,Kayina,,,,,,,,
20180828,North-Kivu,Kayina,,,,,,,,
20180829,North-Kivu,Kayina,,,,,,,,
20180830,North-Kivu,Kayina,,,,,,,,
20180831,North-Kivu,Kayina,,,,,,,,
20180901,North-Kivu,Kayina,,,,,,,,
20180902,North-Kivu,Kayina,,,,,,,,
20180903,North-Kivu,Kayina,,,,,,,,
20180904,North-Kivu,Kayina,,,,,,,,
20180905,North-Kivu,Kayina,,,,,,,,
20180906,North-Kivu,Kayina,,,,,,,,
20180907,North-Kivu,Kayina,,,,,,,,
20180908,North-Kivu,Kayina,,,,,,,,
20180909,North-Kivu,Kayina,,,,,,,,
20180910,North-Kivu,Kayina,,,,,,,,
20180911,North-Kivu,Kayina,,,,,,,,
20180912,North-Kivu,Kayina,,,,,,,,
20180913,North-Kivu,Kayina,,,,,,,,
20180914,North-Kivu,Kayina,,,,,,,,
20180915,North-Kivu,Kayina,,,,,,,,
20180916,North-Kivu,Kayina,,,,,,,,
20180917,North-Kivu,Kayina,,,,,,,,
20180918,North-Kivu,Kayina,,,,,,,,
20180919,North-Kivu,Kayina,,,,,,,,
20180920,North-Kivu,Kayina,,,,,,,,
20180921,North-Kivu,Kayina,,,,,,,,
20180922,North-Kivu,Kayina,,,,,,,,
20180923,North-Kivu,Kayina,,,,,,,,
20180924,North-Kivu,Kayina,,,,,,,,
20180925,North-Kivu,Kayina,,,,,,,,
20180926,North-Kivu,Kayina,,,,,,,,
20180927,North-Kivu,Kayina,,,,,,,,
20180928,North-Kivu,Kayina,,,,,,,,
20180929,North-Kivu,Kayina,,,,,,,,
20180930,North-Kivu,Kayina,,,,,,,,
20181001,North-Kivu,Kayina,,,,,,,,
20181002,North-Kivu,Kayina,,,,,,,,
20181003,North-Kivu,Kayina,,,,,,,,
20181004,North-Kivu,Kayina,,,,,,,,
20181005,North-Kivu,Kayina,,,,,,,,
20181006,North-Kivu,Kayina,,,,,,,,
