date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
20180728,Tshopo,Kisangani,,,,,,,,
20180729,Tshopo,Kisangani,,,,,,,,
20180730,Tshopo,Kisangani,,,,,,,,
20180731,Tshopo,Kisangani,,,,,,,,
20180801,Tshopo,Kisangani,,,,,,,,
20180802,Tshopo,Kisangani,,,,,,,,
20180803,Tshopo,Kisangani,,,,,,,,
20180804,Tshopo,Kisangani,,,,,,,,
20180805,Tshopo,Kisangani,,,,,,,,
20180806,Tshopo,Kisangani,,,,,,,,
20180807,Tshopo,Kisangani,,,,,,,,
20180808,Tshopo,Kisangani,,,,,,,,
20180809,Tshopo,Kisangani,,,,,,,,
20180810,Tshopo,Kisangani,,,,,,,,
20180811,Tshopo,Kisangani,,,,,,,,
20180812,Tshopo,Kisangani,,,,,,,,
20180813,Tshopo,Kisangani,,,,,,,,
20180814,Tshopo,Kisangani,,,,,,,,
20180815,Tshopo,Kisangani,,,,,,,,
20180816,Tshopo,Kisangani,,,,,,,,
20180817,Tshopo,Kisangani,,,,,,,,
20180818,Tshopo,Kisangani,,,,,,,,
20180819,Tshopo,Kisangani,,,,,,,,
20180820,Tshopo,Kisangani,,,,,,,,
20180821,Tshopo,Kisangani,,,,,,,,
20180822,Tshopo,Kisangani,,,,,,,,
20180823,Tshopo,Kisangani,,,,,,,,
20180824,Tshopo,Kisangani,,,,,,,,
20180825,Tshopo,Kisangani,,,,,,,,
20180826,Tshopo,Kisangani,,,,,,,,
20180827,Tshopo,Kisangani,,,,,,,,
20180828,Tshopo,Kisangani,,,,,,,,
20180829,Tshopo,Kisangani,,,,,,,,
20180830,Tshopo,Kisangani,,,,,,,,
20180831,Tshopo,Kisangani,,,,,,,,
20180901,Tshopo,Kisangani,,,,,,,,
20180902,Tshopo,Kisangani,,,,,,,,
20180903,Tshopo,Kisangani,,,,,,,,
20180904,Tshopo,Kisangani,,,,,,,,
20180905,Tshopo,Kisangani,,,,,,,,
20180906,Tshopo,Kisangani,,,,,,,,
20180907,Tshopo,Kisangani,,,,,,,,
20180908,Tshopo,Kisangani,,,,,,,,
20180909,Tshopo,Kisangani,,,,,,,,
20180910,Tshopo,Kisangani,,,,,,,,
20180911,Tshopo,Kisangani,,,,,,,,
20180912,Tshopo,Kisangani,,,,,,,,
20180913,Tshopo,Kisangani,,,,,,,,
20180914,Tshopo,Kisangani,,,,,,,,
20180915,Tshopo,Kisangani,,,,,,,,
20180916,Tshopo,Kisangani,,,,,,,,
20180917,Tshopo,Kisangani,,,,,,,,
20180918,Tshopo,Kisangani,,,,,,,,
20180919,Tshopo,Kisangani,,,,,,,,
20180920,Tshopo,Kisangani,,,,,,,,
20180921,Tshopo,Kisangani,,,,,,,,
20180922,Tshopo,Kisangani,,,,,,,,
20180923,Tshopo,Kisangani,,,,,,,,
20180924,Tshopo,Kisangani,,,,,,,,
20180925,Tshopo,Kisangani,,,,,,,,
20180926,Tshopo,Kisangani,,,,,,,,
20180927,Tshopo,Kisangani,,,,,,,,
20180928,Tshopo,Kisangani,,,,,,,,
20180929,Tshopo,Kisangani,,,,,,,,
20180930,Tshopo,Kisangani,,,,,,,,
20181001,Tshopo,Kisangani,,,,,,,,
20181002,Tshopo,Kisangani,,,,,,,,
20181003,Tshopo,Kisangani,,,,,,,,
20181004,Tshopo,Kisangani,,,,,,,,
20181005,Tshopo,Kisangani,,,,,,,,
20181006,Tshopo,Kisangani,,,,,,,,
20181007,Tshopo,Kisangani,,,,,,,,
20181008,Tshopo,Kisangani,,,,,,,,
20181009,Tshopo,Kisangani,,,,,,,,
20181010,Tshopo,Kisangani,,,,,,,,
20181011,Tshopo,Kisangani,,,,,,,,
20181012,Tshopo,Kisangani,,,,,,,,
20181013,Tshopo,Kisangani,,,,,,,,
