date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
20180728,Ituri,Nyankunde,,,,,,,,
20180729,Ituri,Nyankunde,,,,,,,,
20180730,Ituri,Nyankunde,,,,,,,,
20180731,Ituri,Nyankunde,,,,,,,,
20180801,Ituri,Nyankunde,,,,,,,,
20180802,Ituri,Nyankunde,,,,,,,,
20180803,Ituri,Nyankunde,,,,,,,,
20180804,Ituri,Nyankunde,,,,,,,,
20180805,Ituri,Nyankunde,,,,,,,,
20180806,Ituri,Nyankunde,,,,,,,,
20180807,Ituri,Nyankunde,,,,,,,,
20180808,Ituri,Nyankunde,,,,,,,,
20180809,Ituri,Nyankunde,,,,,,,,
20180810,Ituri,Nyankunde,,,,,,,,
20180811,Ituri,Nyankunde,,,,,,,,
20180812,Ituri,Nyankunde,,,,,,,,
20180813,Ituri,Nyankunde,,,,,,,,
20180814,Ituri,Nyankunde,,,,,,,,
20180815,Ituri,Nyankunde,,,,,,,,
20180816,Ituri,Nyankunde,,,,,,,,
20180817,Ituri,Nyankunde,,,,,,,,
20180818,Ituri,Nyankunde,,,,,,,,
20180819,Ituri,Nyankunde,,,,,,,,
20180820,Ituri,Nyankunde,,,,,,,,
20180821,Ituri,Nyankunde,,,,,,,,
20180822,Ituri,Nyankunde,,,,,,,,
20180823,Ituri,Nyankunde,,,,,,,,
20180824,Ituri,Nyankunde,,,,,,,,
20180825,Ituri,Nyankunde,,,,,,,,
20180826,Ituri,Nyankunde,,,,,,,,
20180827,Ituri,Nyankunde,,,,,,,,
20180828,Ituri,Nyankunde,,,,,,,,
20180829,Ituri,Nyankunde,,,,,,,,
20180830,Ituri,Nyankunde,,,,,,,,
20180831,Ituri,Nyankunde,,,,,,,,
20180901,Ituri,Nyankunde,,,,,,,,
20180902,Ituri,Nyankunde,,,,,,,,
20180903,Ituri,Nyankunde,,,,,,,,
20180904,Ituri,Nyankunde,,,,,,,,
20180905,Ituri,Nyankunde,,,,,,,,
20180906,Ituri,Nyankunde,,,,,,,,
20180907,Ituri,Nyankunde,,,,,,,,
20180908,Ituri,Nyankunde,,,,,,,,
20180909,Ituri,Nyankunde,,,,,,,,
20180910,Ituri,Nyankunde,,,,,,,,
20180911,Ituri,Nyankunde,,,,,,,,
20180912,Ituri,Nyankunde,,,,,,,,
20180913,Ituri,Nyankunde,,,,,,,,
20180914,Ituri,Nyankunde,,,,,,,,
20180915,Ituri,Nyankunde,,,,,,,,
20180916,Ituri,Nyankunde,,,,,,,,
20180917,Ituri,Nyankunde,,,,,,,,
20180918,Ituri,Nyankunde,,,,,,,,
20180919,Ituri,Nyankunde,,,,,,,,
20180920,Ituri,Nyankunde,,,,,,,,
20180921,Ituri,Nyankunde,,,,,,,,
20180922,Ituri,Nyankunde,,,,,,,,
20180923,Ituri,Nyankunde,,,,,,,,
20180924,Ituri,Nyankunde,,,,,,,,
20180925,Ituri,Nyankunde,,,,,,,,
20180926,Ituri,Nyankunde,,,,,,,,
20180927,Ituri,Nyankunde,,,,,,,,
20180928,Ituri,Nyankunde,,,,,,,,
20180929,Ituri,Nyankunde,,,,,,,,
20180930,Ituri,Nyankunde,,,,,,,,
20181001,Ituri,Nyankunde,,,,,,,,
20181002,Ituri,Nyankunde,,,,,,,,
20181003,Ituri,Nyankunde,,,,,,,,
20181004,Ituri,Nyankunde,,,,,,,,
20181005,Ituri,Nyankunde,,,,,,,,
20181006,Ituri,Nyankunde,,,,,,,,
20181007,Ituri,Nyankunde,,,,,,,,
20181008,Ituri,Nyankunde,,,,,,,,
20181009,Ituri,Nyankunde,,,,,,,,
20181010,Ituri,Nyankunde,,,,,,,,
20181011,Ituri,Nyankunde,,,,,,,,
20181012,Ituri,Nyankunde,,,,,,,,
20181013,Ituri,Nyankunde,,,,,,,,
20181014,Ituri,Nyankunde,,,,,,,,
20181015,Ituri,Nyankunde,,,,,,,,
20181016,Ituri,Nyankunde,,,,,,,,
20181017,Ituri,Nyankunde,,,,,,,,
20181018,Ituri,Nyankunde,,,,,,,,
20181019,Ituri,Nyankunde,,,,,,,,
20181020,Ituri,Nyankunde,,,,,,,,
20181021,Ituri,Nyankunde,,,,,,,,
20181022,Ituri,Nyankunde,,,,,,,,
20181023,Ituri,Nyankunde,,,,,,,,
20181024,Ituri,Nyankunde,,,,,,,,
20181025,Ituri,Nyankunde,,,,,,,,
20181026,Ituri,Nyankunde,,,,,,,,
20181027,Ituri,Nyankunde,,,,,,,,
20181028,Ituri,Nyankunde,,,,,,,,
20181029,Ituri,Nyankunde,,,,,,,,
20181030,Ituri,Nyankunde,,,,,,,,
20181031,Ituri,Nyankunde,,,,,,,,
20181101,Ituri,Nyankunde,,,,,,,,
20181102,Ituri,Nyankunde,,,,,,,,
20181103,Ituri,Nyankunde,,,,,,,,
