date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
20180728,North-Kivu,Oicha,,,,,,,,
20180729,North-Kivu,Oicha,,,,,,,,
20180730,North-Kivu,Oicha,,,,,,,,
20180731,North-Kivu,Oicha,,,,,,,,
20180801,North-Kivu,Oicha,,,,,,,,
20180802,North-Kivu,Oicha,,,,,,,,
20180803,North-Kivu,Oicha,1,0,0,0,1,0,,
20180804,North-Kivu,Oicha,,,,,,,,
20180805,North-Kivu,Oicha,1,0,0,0,1,0,,
20180806,North-Kivu,Oicha,1,0,0,0,1,0,,
20180807,North-Kivu,Oicha,1,0,0,0,1,0,,
20180808,North-Kivu,Oicha,1,0,0,0,1,0,,
20180809,North-Kivu,Oicha,1,0,0,0,1,0,,
20180810,North-Kivu,Oicha,1,0,0,0,1,0,,
20180811,North-Kivu,Oicha,1,0,0,0,1,0,,
20180812,North-Kivu,Oicha,1,0,0,0,1,0,,
20180813,North-Kivu,Oicha,1,0,0,0,1,0,,
20180814,North-Kivu,Oicha,1,0,0,0,1,0,,
20180815,North-Kivu,Oicha,1,0,0,0,1,0,,
20180816,North-Kivu,Oicha,1,0,0,0,1,0,,
20180817,North-Kivu,Oicha,1,0,0,0,1,0,,
20180818,North-Kivu,Oicha,1,0,0,0,1,0,,
20180819,North-Kivu,Oicha,1,0,0,0,1,0,,
20180820,North-Kivu,Oicha,1,1,2,2,1,0,,
20180821,North-Kivu,Oicha,1,1,1,1,1,0,,
20180822,North-Kivu,Oicha,1,1,0,1,1,0,,44
20180823,North-Kivu,Oicha,1,1,0,0,1,0,,88
20180824,North-Kivu,Oicha,1,2,0,0,1,0,,121
20180825,North-Kivu,Oicha,1,2,0,0,1,0,,121
20180826,North-Kivu,Oicha,1,2,0,0,1,0,,121
20180827,North-Kivu,Oicha,1,2,1,1,1,0,,121
20180828,North-Kivu,Oicha,1,2,0,0,1,0,,121
20180829,North-Kivu,Oicha,1,2,0,0,1,0,,121
20180830,North-Kivu,Oicha,1,2,1,1,1,0,,121
20180831,North-Kivu,Oicha,1,2,0,0,1,0,,121
20180901,North-Kivu,Oicha,1,2,1,1,1,0,,121
20180902,North-Kivu,Oicha,1,2,0,1,1,0,,121
20180903,North-Kivu,Oicha,1,2,0,0,1,0,,121
20180904,North-Kivu,Oicha,1,2,0,0,1,0,,121
20180905,North-Kivu,Oicha,1,2,0,0,1,0,,121
20180906,North-Kivu,Oicha,1,2,1,1,1,0,2,121
20180907,North-Kivu,Oicha,1,2,1,1,1,0,2,121
20180908,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20180909,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20180910,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20180911,North-Kivu,Oicha,1,2,2,2,1,0,2,121
20180912,North-Kivu,Oicha,1,2,1,1,1,0,2,121
20180913,North-Kivu,Oicha,1,2,1,1,1,0,2,121
20180914,North-Kivu,Oicha,1,2,0,0,1,0,2,
20180915,North-Kivu,Oicha,1,2,0,0,1,0,2,
20180916,North-Kivu,Oicha,1,2,2,2,1,0,2,121
20180917,North-Kivu,Oicha,1,2,0,0,1,0,2,
20180918,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20180919,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20180920,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20180921,North-Kivu,Oicha,1,2,1,1,1,0,2,121
20180922,North-Kivu,Oicha,1,2,1,1,1,0,2,121
20180923,North-Kivu,Oicha,1,2,1,1,1,0,2,121
20180924,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20180925,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20180926,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20180927,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20180928,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20180929,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20180930,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181001,North-Kivu,Oicha,1,2,1,1,1,0,2,121
20181002,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181003,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181004,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181005,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181006,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181007,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181008,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181009,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181010,North-Kivu,Oicha,1,2,1,1,1,0,2,121
20181011,North-Kivu,Oicha,1,2,1,1,1,0,2,121
20181012,North-Kivu,Oicha,1,2,,,1,0,2,121
20181013,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181014,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181015,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181016,North-Kivu,Oicha,1,2,1,1,1,0,2,121
20181017,North-Kivu,Oicha,1,2,1,1,1,0,2,121
20181018,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181019,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181020,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181021,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181022,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181023,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181024,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181025,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181026,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181027,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181028,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181029,North-Kivu,Oicha,1,2,0,0,1,0,2,121
20181030,North-Kivu,Oicha,1,2,2,2,1,0,2,121
20181031,North-Kivu,Oicha,1,2,0,0,1,0,2,143
20181101,North-Kivu,Oicha,1,2,0,0,1,0,2,178
20181102,North-Kivu,Oicha,1,2,0,0,1,0,2,178
20181103,North-Kivu,Oicha,1,2,2,2,1,0,2,178
20181104,North-Kivu,Oicha,1,2,0,0,1,0,2,178
20181105,North-Kivu,Oicha,1,2,0,0,1,0,2,178
20181106,North-Kivu,Oicha,1,2,0,0,1,0,2,
20181107,North-Kivu,Oicha,1,2,0,0,1,0,2,178
20181108,North-Kivu,Oicha,1,2,0,0,1,0,2,178
20181109,North-Kivu,Oicha,1,2,1,1,1,0,2,178
20181110,North-Kivu,Oicha,1,2,0,0,1,0,,178
20181111,North-Kivu,Oicha,0,2,1,1,0,0,,178
20181112,North-Kivu,Oicha,0,2,0,0,,,,178
20181113,North-Kivu,Oicha,0,2,0,0,,,,178
20181114,North-Kivu,Oicha,0,2,1,1,,,,178
20181115,North-Kivu,Oicha,0,2,0,0,0,0,,178
20181116,North-Kivu,Oicha,0,2,0,0,0,0,,178
20181117,North-Kivu,Oicha,0,2,1,1,0,0,,178
20181118,North-Kivu,Oicha,0,2,0,0,0,0,,178
20181119,North-Kivu,Oicha,0,2,2,2,0,0,,178
20181120,North-Kivu,Oicha,0,3,0,0,0,0,,178
20181121,North-Kivu,Oicha,0,3,0,0,0,0,,178
20181122,North-Kivu,Oicha,0,4,1,1,1,1,,178
20181123,North-Kivu,Oicha,0,4,2,2,1,1,,268
20181124,North-Kivu,Oicha,0,4,5,5,1,1,,363
20181125,North-Kivu,Oicha,0,4,0,0,1,1,,452
