date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
20180728,Ituri,Tchomia,,,,,,,,
20180729,Ituri,Tchomia,,,,,,,,
20180730,Ituri,Tchomia,,,,,,,,
20180731,Ituri,Tchomia,,,,,,,,
20180801,Ituri,Tchomia,,,,,,,,
20180802,Ituri,Tchomia,,,,,,,,
20180803,Ituri,Tchomia,,,,,,,,
20180804,Ituri,Tchomia,,,,,,,,
20180805,Ituri,Tchomia,,,,,,,,
20180806,Ituri,Tchomia,,,,,,,,
20180807,Ituri,Tchomia,,,,,,,,
20180808,Ituri,Tchomia,,,,,,,,
20180809,Ituri,Tchomia,,,,,,,,
20180810,Ituri,Tchomia,,,,,,,,
20180811,Ituri,Tchomia,,,,,,,,
20180812,Ituri,Tchomia,,,,,,,,
20180813,Ituri,Tchomia,,,,,,,,
20180814,Ituri,Tchomia,,,,,,,,
20180815,Ituri,Tchomia,,,,,,,,
20180816,Ituri,Tchomia,,,,,,,,
20180817,Ituri,Tchomia,,,,,,,,
20180818,Ituri,Tchomia,,,,,,,,
20180819,Ituri,Tchomia,,,,,,,,
20180820,Ituri,Tchomia,,,,,,,,
20180821,Ituri,Tchomia,,,,,,,,
20180822,Ituri,Tchomia,,,,,,,,
20180823,Ituri,Tchomia,,,,,,,,
20180824,Ituri,Tchomia,,,,,,,,
20180825,Ituri,Tchomia,,,,,,,,
20180826,Ituri,Tchomia,,,,,,,,
20180827,Ituri,Tchomia,,,,,,,,
20180828,Ituri,Tchomia,,,,,,,,
20180829,Ituri,Tchomia,,,,,,,,
20180830,Ituri,Tchomia,,,,,,,,
20180831,Ituri,Tchomia,,,,,,,,
20180901,Ituri,Tchomia,,,,,,,,
20180902,Ituri,Tchomia,,,,,,,,
20180903,Ituri,Tchomia,,,,,,,,
20180904,Ituri,Tchomia,,,,,,,,
20180905,Ituri,Tchomia,,,,,,,,
20180906,Ituri,Tchomia,,,,,,,,
20180907,Ituri,Tchomia,,,,,,,,
20180908,Ituri,Tchomia,,,,,,,,
20180909,Ituri,Tchomia,,,,,,,,
20180910,Ituri,Tchomia,,,,,,,,
20180911,Ituri,Tchomia,,,,,,,,
20180912,Ituri,Tchomia,,,,,,,,
20180913,Ituri,Tchomia,,,,,,,,
20180914,Ituri,Tchomia,,,,,,,,
20180915,Ituri,Tchomia,,,,,,,,
20180916,Ituri,Tchomia,,,,,,,,
20180917,Ituri,Tchomia,,,,,,,,
20180918,Ituri,Tchomia,,,,,,,,
20180919,Ituri,Tchomia,,,,,,,,
20180920,Ituri,Tchomia,0,1,0,0,1,1,0,
20180921,Ituri,Tchomia,0,1,0,0,1,1,0,
20180922,Ituri,Tchomia,0,1,1,1,1,1,0,10
20180923,Ituri,Tchomia,0,2,0,0,1,1,0,27
20180924,Ituri,Tchomia,0,2,1,1,1,1,0,60
20180925,Ituri,Tchomia,0,2,3,3,1,1,0,108
20180926,Ituri,Tchomia,0,2,3,3,1,1,0,156
20180927,Ituri,Tchomia,0,2,4,4,1,1,0,177
20180928,Ituri,Tchomia,0,2,7,7,1,1,0,224
20180929,Ituri,Tchomia,0,2,3,3,1,1,0,230
20180930,Ituri,Tchomia,0,2,1,1,1,1,0,260
20181001,Ituri,Tchomia,0,2,0,0,1,1,0,301
20181002,Ituri,Tchomia,0,2,1,1,1,1,0,307
20181003,Ituri,Tchomia,0,2,4,4,1,1,0,355
20181004,Ituri,Tchomia,0,2,0,0,1,1,0,355
20181005,Ituri,Tchomia,0,2,0,0,1,1,0,355
20181006,Ituri,Tchomia,0,2,0,0,2,2,0,355
20181007,Ituri,Tchomia,0,2,2,2,2,2,0,355
20181008,Ituri,Tchomia,0,2,2,2,2,2,0,355
20181009,Ituri,Tchomia,0,2,3,3,2,2,0,355
20181010,Ituri,Tchomia,0,2,1,1,2,2,0,355
20181011,Ituri,Tchomia,0,2,1,1,2,2,0,355
20181012,Ituri,Tchomia,0,2,,,2,2,0,355
20181013,Ituri,Tchomia,0,2,0,0,2,2,0,355
20181014,Ituri,Tchomia,0,2,0,0,2,2,0,355
20181015,Ituri,Tchomia,0,2,1,1,2,2,0,355
20181016,Ituri,Tchomia,0,2,1,1,2,2,0,355
20181017,Ituri,Tchomia,0,2,0,0,2,2,0,355
20181018,Ituri,Tchomia,0,2,0,0,2,2,0,355
20181019,Ituri,Tchomia,0,2,0,0,2,2,0,355
20181020,Ituri,Tchomia,0,2,0,0,2,2,0,355
20181021,Ituri,Tchomia,0,2,0,0,2,2,0,355
20181022,Ituri,Tchomia,0,2,0,0,2,2,0,355
20181023,Ituri,Tchomia,0,2,1,1,2,2,0,355
20181024,Ituri,Tchomia,0,2,1,1,2,2,0,355
20181025,Ituri,Tchomia,0,2,0,0,2,2,0,355
20181026,Ituri,Tchomia,0,2,0,0,2,2,0,355
20181027,Ituri,Tchomia,0,2,0,0,2,2,0,355
20181028,Ituri,Tchomia,0,2,0,0,2,2,0,355
20181029,Ituri,Tchomia,0,2,1,1,2,2,0,355
20181030,Ituri,Tchomia,0,2,0,0,2,2,0,355
20181031,Ituri,Tchomia,0,2,0,0,2,2,0,355
20181101,Ituri,Tchomia,0,2,0,0,2,2,0,355
20181102,Ituri,Tchomia,0,2,0,0,2,2,0,355
20181103,Ituri,Tchomia,0,2,3,3,2,2,0,355
20181104,Ituri,Tchomia,0,2,2,2,2,2,0,355
20181105,Ituri,Tchomia,0,2,1,1,2,2,0,355
20181106,Ituri,Tchomia,0,2,0,0,2,2,0,
20181107,Ituri,Tchomia,0,2,1,1,2,2,0,355
20181108,Ituri,Tchomia,0,2,1,1,2,2,0,355
20181109,Ituri,Tchomia,0,2,0,0,2,2,0,355
20181110,Ituri,Tchomia,0,2,0,0,2,2,,355
20181111,Ituri,Tchomia,0,2,0,0,2,2,,355
20181112,Ituri,Tchomia,0,2,0,0,,,,355
20181113,Ituri,Tchomia,0,2,0,0,,,,355
20181114,Ituri,Tchomia,0,2,0,0,,,,355
20181115,Ituri,Tchomia,0,2,2,2,2,2,,355
20181116,Ituri,Tchomia,0,2,0,0,2,2,,355
20181117,Ituri,Tchomia,0,2,0,0,2,2,,355
20181118,Ituri,Tchomia,0,2,0,0,2,2,,355
20181119,Ituri,Tchomia,0,2,0,0,2,2,,355
20181120,Ituri,Tchomia,0,2,1,1,2,2,,355
20181121,Ituri,Tchomia,0,2,1,1,2,2,,355
20181122,Ituri,Tchomia,0,2,0,0,2,2,,355
20181123,Ituri,Tchomia,0,2,0,0,2,2,,355
20181124,Ituri,Tchomia,0,2,0,0,2,2,,355
20181125,Ituri,Tchomia,0,2,0,0,2,2,,355
20181126,Ituri,Tchomia,0,2,0,0,2,2,,355
20181127,Ituri,Tchomia,0,2,0,0,2,2,,355
20181128,Ituri,Tchomia,0,2,0,0,2,2,,355
20181129,Ituri,Tchomia,0,2,0,0,2,2,,355
20181130,Ituri,Tchomia,0,2,0,0,2,2,,355
20181201,Ituri,Tchomia,0,2,0,0,2,2,,355
20181202,Ituri,Tchomia,0,2,0,0,2,2,,355
20181203,Ituri,Tchomia,0,2,0,0,2,2,,355
20181204,Ituri,Tchomia,0,2,0,0,2,2,,355
20181205,Ituri,Tchomia,0,2,0,0,2,2,,355
20181206,Ituri,Tchomia,0,2,0,0,2,2,,355
20181207,Ituri,Tchomia,0,2,0,0,2,2,,355
20181208,Ituri,Tchomia,0,2,0,0,2,2,,355
20181209,Ituri,Tchomia,0,2,0,0,2,2,,355
20181210,Ituri,Tchomia,0,2,0,0,2,2,,355
20181211,Ituri,Tchomia,0,2,0,0,2,2,,355
20181212,Ituri,Tchomia,0,2,0,0,2,2,,355
20181213,Ituri,Tchomia,0,2,0,0,2,2,,355
20181214,Ituri,Tchomia,0,2,0,0,2,2,,355
20181215,Ituri,Tchomia,0,2,0,0,2,2,,355
20181216,Ituri,Tchomia,0,2,1,1,2,2,,355
20181217,Ituri,Tchomia,0,2,0,0,2,2,,355
20181218,Ituri,Tchomia,0,2,0,0,2,2,,355
20181219,Ituri,Tchomia,0,2,0,0,2,2,,355
20181220,Ituri,Tchomia,0,2,0,0,2,2,,355
20181221,Ituri,Tchomia,0,2,0,0,2,2,,355
20181222,Ituri,Tchomia,0,2,0,0,2,2,,355
20181223,Ituri,Tchomia,0,2,0,0,2,2,,355
20181224,Ituri,Tchomia,0,2,0,0,2,2,,355
20181225,Ituri,Tchomia,0,2,0,0,2,2,,355
20181226,Ituri,Tchomia,0,2,0,0,2,2,,355
20181227,Ituri,Tchomia,0,2,0,0,2,2,,355
20181228,Ituri,Tchomia,0,2,0,0,2,2,,355
20181229,Ituri,Tchomia,0,2,0,0,2,2,,355
20181230,Ituri,Tchomia,0,2,0,0,2,2,,
20181231,Ituri,Tchomia,0,2,0,0,2,2,,
20190101,Ituri,Tchomia,0,2,0,0,2,2,,
20190102,Ituri,Tchomia,0,2,0,0,2,2,,
20190103,Ituri,Tchomia,0,2,0,0,2,2,,
20190104,Ituri,Tchomia,0,2,0,0,2,2,,
20190105,Ituri,Tchomia,0,2,0,0,2,2,,
20190106,Ituri,Tchomia,0,2,0,0,2,2,,
20190107,Ituri,Tchomia,0,2,0,0,2,2,,
20190108,Ituri,Tchomia,0,2,,,2,2,,
20190109,Ituri,Tchomia,0,2,0,0,2,2,,
20190110,Ituri,Tchomia,0,2,0,0,2,2,,
20190111,Ituri,Tchomia,0,2,0,0,2,2,,
20190112,Ituri,Tchomia,0,2,0,0,2,2,,
20190113,Ituri,Tchomia,0,2,0,0,2,2,,
20190114,Ituri,Tchomia,0,2,0,0,2,2,,
20190115,Ituri,Tchomia,0,2,0,0,2,2,,
20190116,Ituri,Tchomia,0,2,0,0,2,2,,
20190117,Ituri,Tchomia,0,2,0,0,2,2,,
20190118,Ituri,Tchomia,0,2,0,0,2,2,,
20190119,Ituri,Tchomia,0,2,0,0,2,2,,
20190120,Ituri,Tchomia,0,2,0,0,2,2,,
20190121,Ituri,Tchomia,0,2,1,1,2,2,,
20190122,Ituri,Tchomia,0,2,0,0,2,2,,
20190123,Ituri,Tchomia,0,2,0,0,2,2,,
20190124,Ituri,Tchomia,0,2,0,0,2,2,,
20190125,Ituri,Tchomia,0,2,0,0,2,2,,
20190126,Ituri,Tchomia,0,2,0,0,2,2,,
20190127,Ituri,Tchomia,0,2,0,0,2,2,,
20190128,Ituri,Tchomia,0,2,0,0,2,2,,
20190129,Ituri,Tchomia,0,2,0,0,2,2,,
20190130,Ituri,Tchomia,0,2,0,0,2,2,,
20190131,Ituri,Tchomia,0,2,0,0,2,2,,
20190201,Ituri,Tchomia,0,2,0,0,2,2,,
20190202,Ituri,Tchomia,0,2,0,0,2,2,,
20190203,Ituri,Tchomia,0,2,0,0,2,2,,
20190204,Ituri,Tchomia,0,2,1,1,2,2,,
20190205,Ituri,Tchomia,0,2,0,0,2,2,,
20190206,Ituri,Tchomia,0,2,1,1,2,2,,
20190207,Ituri,Tchomia,0,2,0,0,2,2,,
20190208,Ituri,Tchomia,0,2,0,0,2,2,,
20190209,Ituri,Tchomia,0,2,0,0,2,2,,
20190210,Ituri,Tchomia,0,2,0,0,2,2,,
20190211,Ituri,Tchomia,0,2,0,0,2,2,,
20190212,Ituri,Tchomia,0,2,0,0,2,2,,
20190213,Ituri,Tchomia,0,2,0,0,2,2,,
20190214,Ituri,Tchomia,0,2,0,0,2,2,,
20190215,Ituri,Tchomia,0,2,0,0,2,2,,
20190216,Ituri,Tchomia,0,2,0,0,2,2,,
20190217,Ituri,Tchomia,0,2,0,0,2,2,,
20190218,Ituri,Tchomia,0,2,0,0,2,2,,
20190219,Ituri,Tchomia,0,2,0,0,2,2,,
20190220,Ituri,Tchomia,0,2,0,0,2,2,,
20190221,Ituri,Tchomia,0,2,0,0,2,2,,
20190222,Ituri,Tchomia,0,2,0,0,2,2,,
20190223,Ituri,Tchomia,0,2,0,0,2,2,,
20190224,Ituri,Tchomia,0,2,3,3,2,2,,
20190225,Ituri,Tchomia,0,2,0,0,2,2,,
20190226,Ituri,Tchomia,0,2,0,0,2,2,,
20190227,Ituri,Tchomia,0,2,0,0,2,2,,
20190228,Ituri,Tchomia,0,2,0,0,2,2,,
20190301,Ituri,Tchomia,0,2,0,0,2,2,,
20190302,Ituri,Tchomia,0,2,0,0,2,2,,
20190303,Ituri,Tchomia,0,2,0,0,2,2,,
20190304,Ituri,Tchomia,0,2,0,0,2,2,,
20190305,Ituri,Tchomia,0,2,0,0,2,2,,
