date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
20180728,all,all,,,,,,,,
20180729,all,all,,,,,,,,
20180730,all,all,,,,,,,,
20180731,all,all,,,,,,,,
20180801,all,all,,,,,,,,
20180802,all,all,,,,,,,,
20180803,all,all,30,13,0,33,33,3,,
20180804,all,all,,,,,,,,
20180805,all,all,27,16,10,31,34,7,,
20180806,all,all,27,16,17,46,36,9,,
20180807,all,all,27,17,9,47,36,9,,
20180808,all,all,27,17,10,52,37,10,,
20180809,all,all,27,21,8,51,38,11,,
20180810,all,all,27,22,8,53,38,11,,
20180811,all,all,27,25,11,48,39,12,,
20180812,all,all,27,30,12,58,41,14,,
20180813,all,all,27,39,8,36,42,15,,
20180814,all,all,27,46,14,40,43,16,,
20180815,all,all,27,51,9,26,44,17,,316
20180816,all,all,27,60,8,21,47,20,,
20180817,all,all,27,63,9,25,49,22,,
20180818,all,all,27,64,8,12,50,23,,873
20180819,all,all,27,69,5,5,55,28,,1273
20180820,all,all,27,75,9,9,59,32,,1693
20180821,all,all,27,76,7,7,61,34,,2179
20180822,all,all,27,76,6,13,63,36,,2613
20180823,all,all,28,77,10,10,67,39,,2957
20180824,all,all,28,79,5,6,70,42,,3481
20180825,all,all,28,83,5,6,72,44,,3591
20180826,all,all,28,83,6,10,75,47,,4130
20180827,all,all,28,84,11,18,75,47,,4511
20180828,all,all,30,85,10,10,77,47,,4645
20180829,all,all,30,86,8,8,77,47,,4851
20180830,all,all,30,88,5,13,77,47,,5150
20180831,all,all,30,90,7,11,78,48,,5462
20180901,all,all,30,90,8,12,80,50,,5773
20180902,all,all,30,91,6,14,81,51,,5946
20180903,all,all,31,93,9,16,85,54,,6134
20180904,all,all,31,96,4,4,87,56,,6343
20180905,all,all,31,98,7,7,89,58,23,6486
20180906,all,all,31,98,9,9,89,58,33,6769
20180907,all,all,31,100,14,14,90,59,35,7069
20180908,all,all,31,100,12,20,90,59,35,7409
20180909,all,all,31,101,3,9,91,60,36,7780
20180910,all,all,31,101,7,9,92,61,37,8190
20180911,all,all,31,102,16,19,92,61,37,8444
20180912,all,all,31,106,17,17,92,61,37,8738
20180913,all,all,31,109,13,13,94,63,37,8963
20180914,all,all,31,109,5,5,95,64,37,0
20180915,all,all,31,111,4,4,97,66,38,0
20180916,all,all,31,111,7,7,97,66,38,9721
20180917,all,all,31,111,5,6,97,66,38,0
20180918,all,all,31,111,9,9,97,66,38,10352
20180919,all,all,31,112,7,7,97,66,39,10663
20180920,all,all,31,116,11,11,99,68,39,10944
20180921,all,all,31,116,15,15,99,68,40,11109
20180922,all,all,31,118,12,12,100,69,40,11417
20180923,all,all,31,119,9,9,100,69,41,11563
20180924,all,all,31,120,11,11,101,70,41,11773
20180925,all,all,31,120,17,17,101,70,41,11921
20180926,all,all,31,123,11,11,101,70,43,12029
20180927,all,all,31,124,15,15,102,71,45,12250
20180928,all,all,31,126,23,23,102,71,45,12614
20180929,all,all,32,127,13,13,104,72,45,12940
20180930,all,all,32,129,9,9,105,73,45,13208
20181001,all,all,32,129,18,18,106,74,45,13542
20181002,all,all,32,130,17,17,106,74,46,13750
20181003,all,all,32,133,24,24,106,74,47,14017
20181004,all,all,32,135,13,13,106,74,48,14278
20181005,all,all,32,140,10,10,108,76,49,14619
20181006,all,all,35,142,11,11,113,78,50,14869
20181007,all,all,35,146,21,21,115,80,50,15114
20181008,all,all,35,153,20,20,118,83,51,15279
20181009,all,all,35,159,25,25,122,87,53,15525
20181010,all,all,35,165,26,26,125,90,53,15807
20181011,all,all,35,170,32,32,130,95,54,16202
20181012,all,all,35,172,,,130,95,54,16518
20181013,all,all,35,176,24,24,135,100,55,16973
20181014,all,all,35,179,25,25,139,104,55,17438
20181015,all,all,35,181,32,32,139,104,57,17976
20181016,all,all,35,185,34,34,142,107,57,18465
20181017,all,all,35,188,46,46,144,109,57,18998
20181018,all,all,35,192,40,40,147,112,58,19539
20181019,all,all,35,200,40,40,152,117,61,20229
20181020,all,all,35,202,33,33,153,118,63,20789
20181021,all,all,35,203,14,14,155,120,63,20849
20181022,all,all,35,209,37,37,157,122,63,20939
20181023,all,all,35,212,48,48,159,124,65,21553
20181024,all,all,35,216,46,46,162,127,67,22326
20181025,all,all,35,222,47,47,164,129,67,22811
20181026,all,all,35,231,42,42,168,133,70,23284
20181027,all,all,35,232,43,43,170,135,70,23691
20181028,all,all,35,239,32,32,174,139,73,24142
20181029,all,all,35,241,65,65,175,140,74,24510
20181030,all,all,35,244,51,51,179,144,81,24863
20181031,all,all,35,250,41,41,180,145,81,25336
20181101,all,all,35,252,39,39,181,146,81,25600
20181102,all,all,35,258,50,50,182,147,81,25845
20181103,all,all,35,263,46,46,186,151,81,26135
20181104,all,all,35,265,41,41,186,151,88,26463
20181105,all,all,35,270,60,60,189,154,88,26724
20181106,all,all,35,273,39,39,191,156,91,0
20181107,all,all,35,277,40,40,191,156,91,27398
20181108,all,all,35,284,52,52,198,163,97,27832
20181109,all,all,35,291,47,47,201,166,98,28303
20181110,all,all,35,294,38,38,205,170,,28727
20181111,all,all,38,295,49,49,209,171,,28991
20181112,all,all,38,301,43,43,,,,29434
20181113,all,all,38,303,50,50,215,177,,30072
20181114,all,all,40,304,45,45,202,162,,30563
20181115,all,all,47,305,90,90,210,163,,31224
20181116,all,all,47,311,57,57,213,166,,31663
20181117,all,all,47,319,66,66,214,167,,31953
20181118,all,all,47,326,72,72,216,169,,32108
20181119,all,all,47,326,71,71,217,170,,32626
20181120,all,all,47,339,48,48,219,172,,33077
20181121,all,all,47,346,73,73,222,175,,33498
20181122,all,all,47,352,91,91,228,181,,34091
20181123,all,all,47,356,56,56,231,184,,34839
20181124,all,all,47,365,75,75,236,189,,35224
20181125,all,all,47,372,59,59,240,193,,35958
20181126,all,all,47,374,74,74,241,194,,36612
20181127,all,all,47,375,74,74,242,195,,37097
20181128,all,all,47,379,87,87,245,198,,37559
20181129,all,all,48,380,66,66,248,200,,38018
20181130,all,all,48,386,83,83,252,204,,38353
20181201,all,all,48,392,97,97,255,207,,38821
20181202,all,all,48,396,72,72,260,212,,39277
20181203,all,all,48,405,71,71,268,220,,39845
20181204,all,all,48,410,94,94,271,223,,40493
20181205,all,all,48,423,106,106,273,225,,41226
20181206,all,all,48,429,94,94,275,227,,41817
20181207,all,all,48,441,89,89,280,232,,42673
20181208,all,all,48,446,69,69,283,235,,43389
20181209,all,all,48,450,73,73,285,237,,43944
20181210,all,all,48,452,80,80,289,241,,44447
20181211,all,all,48,457,100,100,298,250,,45020
20181212,all,all,48,470,96,96,303,255,,45467
20181213,all,all,48,473,97,97,306,258,,46047
20181214,all,all,48,481,96,96,311,263,,46887
20181215,all,all,48,483,86,86,313,265,,47592
20181216,all,all,48,491,75,75,315,267,,48048
20181217,all,all,48,499,96,96,323,275,,48781
20181218,all,all,48,506,82,82,330,282,,49384
20181219,all,all,48,512,87,87,336,288,,49940
20181220,all,all,48,515,81,81,343,295,,50489
20181221,all,all,48,519,113,113,347,299,,50945
20181222,all,all,48,526,161,161,347,299,,51678
20181223,all,all,48,531,213,213,352,304,,52122
20181224,all,all,48,535,122,122,354,306,,52630
20181225,all,all,48,537,74,74,356,308,,53031
20181226,all,all,48,543,12,12,357,309,,53463
20181227,all,all,48,545,66,66,359,311,,53553
20181228,all,all,48,545,21,21,360,312,,53553
20181229,all,all,48,548,8,8,361,313,,53677
20181230,all,all,48,550,47,47,363,315,,0
20181231,all,all,48,554,54,54,366,318,,0
20190101,all,all,48,560,29,29,368,320,,0
20190102,all,all,48,561,40,40,370,322,,0
20190103,all,all,48,565,122,122,371,323,,0
20190104,all,all,48,566,127,127,374,326,,0
20190105,all,all,48,575,122,122,374,326,,0
20190106,all,all,48,577,101,101,377,329,,0
20190107,all,all,48,579,98,98,382,334,,0
20190108,all,all,48,580,,,383,335,,0
20190109,all,all,48,582,122,122,385,337,,0
20190110,all,all,48,584,58,58,386,338,,0
20190111,all,all,48,586,121,121,386,338,,0
20190112,all,all,49,595,116,116,392,343,,0
20190113,all,all,49,600,121,121,396,347,,0
20190114,all,all,49,609,200,200,402,353,,0
